Date,Open,High,Low,Close
12/30/2022,"3,828.85","3,839.85","3,800.34","3,839.50"
12/29/2022,"3,805.45","3,858.19","3,805.45","3,849.28"
12/28/2022,"3,829.56","3,848.32","3,780.78","3,783.22"
12/27/2022,"3,843.34","3,846.65","3,813.22","3,829.25"
12/23/2022,"3,813.11","3,845.80","3,797.01","3,844.82"
12/22/2022,"3,853.26","3,853.26","3,764.49","3,822.39"
12/21/2022,"3,839.49","3,889.82","3,839.49","3,878.44"
12/20/2022,"3,810.47","3,838.24","3,795.62","3,821.62"
12/19/2022,"3,853.79","3,854.86","3,800.04","3,817.66"
12/16/2022,"3,890.91","3,890.91","3,827.91","3,852.36"
12/15/2022,"3,958.37","3,958.37","3,879.45","3,895.75"
12/14/2022,"4,015.54","4,053.76","3,965.65","3,995.32"
12/13/2022,"4,069.38","4,100.96","3,993.03","4,019.65"
12/12/2022,"3,939.29","3,990.71","3,935.30","3,990.56"
12/9/2022,"3,954.17","3,977.02","3,933.04","3,934.38"
12/8/2022,"3,947.79","3,974.19","3,935.83","3,963.51"
12/7/2022,"3,933.28","3,957.57","3,922.68","3,933.92"
12/6/2022,"3,996.63","4,001.51","3,918.39","3,941.26"
12/5/2022,"4,052.02","4,052.45","3,984.49","3,998.84"
12/2/2022,"4,040.17","4,080.48","4,026.63","4,071.70"
12/1/2022,"4,087.14","4,100.51","4,050.87","4,076.57"
11/30/2022,"3,957.18","4,080.11","3,938.58","4,080.11"
11/29/2022,"3,964.19","3,976.77","3,937.65","3,957.63"
11/28/2022,"4,005.36","4,012.27","3,955.77","3,963.94"
11/25/2022,"4,023.34","4,034.02","4,020.76","4,026.12"
11/23/2022,"4,001.02","4,033.78","3,998.66","4,027.26"
11/22/2022,"3,965.51","4,005.88","3,956.88","4,003.58"
11/21/2022,"3,956.23","3,962.00","3,933.34","3,949.94"
11/18/2022,"3,966.39","3,979.89","3,935.98","3,965.34"
11/17/2022,"3,919.26","3,954.33","3,906.54","3,946.56"
11/16/2022,"3,976.82","3,983.09","3,954.34","3,958.79"
11/15/2022,"4,006.41","4,028.84","3,953.17","3,991.73"
11/14/2022,"3,977.97","4,008.97","3,956.40","3,957.25"
11/11/2022,"3,963.72","4,001.48","3,944.82","3,992.93"
11/10/2022,"3,859.89","3,958.33","3,859.89","3,956.37"
11/9/2022,"3,810.94","3,818.20","3,744.22","3,748.57"
11/8/2022,"3,817.02","3,859.40","3,786.28","3,828.11"
11/7/2022,"3,780.71","3,813.95","3,764.70","3,806.80"
11/4/2022,"3,766.98","3,796.34","3,708.84","3,770.55"
11/3/2022,"3,733.25","3,750.59","3,698.15","3,719.89"
11/2/2022,"3,852.90","3,894.44","3,758.68","3,759.69"
11/1/2022,"3,901.79","3,911.79","3,843.80","3,856.10"
10/31/2022,"3,881.85","3,893.73","3,863.18","3,871.98"
10/28/2022,"3,808.26","3,905.42","3,808.26","3,901.06"
10/27/2022,"3,834.69","3,859.95","3,803.79","3,807.30"
10/26/2022,"3,825.97","3,886.15","3,824.07","3,830.60"
10/25/2022,"3,799.44","3,862.85","3,799.44","3,859.11"
10/24/2022,"3,762.01","3,810.74","3,741.65","3,797.34"
10/21/2022,"3,657.10","3,757.89","3,647.42","3,752.75"
10/20/2022,"3,689.05","3,736.00","3,656.44","3,665.78"
10/19/2022,"3,703.11","3,728.58","3,666.51","3,695.16"
10/18/2022,"3,746.26","3,762.79","3,686.53","3,719.98"
10/17/2022,"3,638.65","3,689.73","3,638.65","3,677.95"
10/14/2022,"3,690.41","3,712.00","3,579.68","3,583.07"
10/13/2022,"3,520.37","3,685.41","3,491.58","3,669.91"
10/12/2022,"3,590.83","3,608.34","3,573.86","3,577.03"
10/11/2022,"3,595.86","3,640.66","3,568.45","3,588.84"
10/10/2022,"3,647.51","3,652.17","3,588.10","3,612.39"
10/7/2022,"3,706.74","3,706.74","3,620.73","3,639.66"
10/6/2022,"3,771.97","3,797.93","3,739.22","3,744.52"
10/5/2022,"3,753.25","3,806.91","3,722.66","3,783.28"
10/4/2022,"3,726.46","3,791.92","3,726.46","3,790.93"
10/3/2022,"3,609.78","3,698.35","3,604.93","3,678.43"
9/30/2022,"3,633.48","3,671.44","3,584.13","3,585.62"
9/29/2022,"3,687.01","3,687.01","3,610.40","3,640.47"
9/28/2022,"3,651.94","3,736.74","3,640.61","3,719.04"
9/27/2022,"3,686.44","3,717.53","3,623.29","3,647.29"
9/26/2022,"3,682.72","3,715.67","3,644.76","3,655.04"
9/23/2022,"3,727.14","3,727.14","3,647.47","3,693.23"
9/22/2022,"3,782.36","3,790.90","3,749.45","3,757.99"
9/21/2022,"3,871.40","3,907.07","3,789.49","3,789.93"
9/20/2022,"3,875.23","3,876.01","3,827.54","3,855.93"
9/19/2022,"3,849.91","3,900.45","3,838.50","3,899.89"
9/16/2022,"3,880.95","3,880.95","3,837.08","3,873.33"
9/15/2022,"3,932.41","3,959.14","3,888.28","3,901.35"
9/14/2022,"3,940.73","3,961.94","3,912.18","3,946.01"
9/13/2022,"4,037.12","4,037.12","3,921.28","3,932.69"
9/12/2022,"4,083.67","4,119.28","4,083.67","4,110.41"
